#Residue Function Hydrogen/at1 Partner/at2 Near_1/at3 Angle_1/at4 Near_2/angleT Angle_2 Chiral
#
LYS z HD3 CD CG 109.50 CE 109.50 1
LYS z HE2 CE CD 109.50 NZ 109.50 -1
LYS z HE3 CE CD 109.50 NZ 109.50 1
LYS z HZ1 NZ CE 109.50 CD 109.50 1
LYS z HZ2 NZ CE 109.50 HZ1 109.50 -1
LYS z HZ3 NZ CE 109.50 HZ1 109.50 1
#
ARG z HA CA C 109.50 N 109.50 1
ARG z HB2 CB CA 109.50 CG 109.50 -1
ARG z HB3 CB CA 109.50 CG 109.50 1
ARG z HG2 CG CB 109.50 CD 109.50 -1
ARG z HG3 CG CB 109.50 CD 109.50 1
ARG z HD2 CD CG 109.50 NE 109.50 -1
ARG z HD3 CD CG 109.50 NE 109.50 1
ARG z HE NE CD 120.00 CZ 120.00 -1
ARG z HH11 NH1 CZ 120.00 NH2 120.00 -1
ARG z HH12 NH1 CZ 120.00 NH2 120.00 1
ARG t HH12 NH1 CZ NH2 0
ARG z HH21 NH2 CZ 120.00 NH1 120.00 1
ARG z HH22 NH2 CZ 120.00 NH1 120.00 -1
ARG t HH21 NH2 CZ NE 0
#
HIS z HA CA C 109.50 N 109.50 1
HIS z HB2 CB CA 109.50 CG 109.50 -1
HIS z HB3 CB CA 109.50 CG 109.50 1
HIS z HD1 ND1 CG 126.50 CE1 126.50 -1
HIS z HD2 CD2 CG 126.50 NE2 126.50 -1
HIS z HE1 CE1 ND1 126.50 NE2 126.50 -1
#
PHE z HA CA C 109.50 N 109.50 1
PHE z HB2 CB CA 109.50 CG 109.50 -1
PHE z HB3 CB CA 109.50 CG 109.50 1
PHE z HD1 CD1 CG 120.00 CE1 120.00 -1
PHE z HD2 CD2 CG 120.00 CE2 120.00 -1
PHE z HE1 CE1 CD1 120.00 CZ 120.00 -1
PHE z HE2 CE2 CD2 120.00 CZ 120.00 -1
PHE z HZ CZ CE1 120.00 CE2 120.00 -1
#
TYR z HA CA C 109.50 N 109.50 1
TYR z HB2 CB CA 109.50 CG 109.50 -1
TYR z HB3 CB CA 109.50 CG 109.50 1
TYR z HD1 CD1 CG 120.00 CE1 120.00 -1
TYR z HD2 CD2 CG 120.00 CE2 120.00 -1
TYR z HE1 CE1 CD1 120.00 CZ 120.00 -1
TYR z HE2 CE2 CD2 120.00 CZ 120.00 -1
TYR z HH OH CZ 120.00 CE2 120.00 -1
TYR t HH OH CZ CE1 0
#
TRP z HA CA C 109.50 N 109.50 1
TRP z HB2 CB CA 109.50 CG 109.50 -1
TRP z HB3 CB CA 109.50 CG 109.50 1
TRP z HD1 CD1 CG 125.00 NE1 125.00 -1
TRP z HE1 NE1 CD1 125.00 CE2 125.00 -1
TRP z HE3 CE3 CD2 120.00 CZ3 120.00 -1
TRP z HZ3 CZ3 CE3 120.00 CH2 120.00 -1
TRP z HH2 CH2 CZ3 120.00 CZ2 120.00 -1
TRP z HZ2 CZ2 CE2 120.00 CH2 120.00 1
